character,actual,predicted
1H4_Falstaff,history,tragedy
1H4_HenryV,history,history
1H4_Hotspur,history,history
1H6_Charles,history,history
1H6_HenryVI,history,history
2H4_ChiefJustice,history,history
2H4_Falstaff,history,tragedy
2H4_HenryV,history,history
AWW_Bertram,comedy,comedy
AWW_Fool,comedy,comedy
AWW_Helen,comedy,comedy
AYL_DukeFrederick,comedy,tragedy
AYL_Rosalind,comedy,comedy
Ado_Beatrice,comedy,comedy
Ado_Dogberry,comedy,comedy
Ado_DonJohn,comedy,comedy
Ant_Antony,tragedy,tragedy
Ant_Octavius,tragedy,tragedy
Cor_Coriolanus,tragedy,tragedy
Cor_TRIBUNES.Brutus,tragedy,tragedy
Cym_Cloten,tragedy,comedy
Cym_Iachimo,tragedy,history
Cym_Imogen,tragedy,comedy
Err_AntipholusOfEphesus,comedy,comedy
Err_AntipholusOfSyracuse,comedy,comedy
Err_DromioOfEphesus,comedy,comedy
Err_DromioOfSyracuse,comedy,comedy
H5_Dauphin,history,history
H5_HenryV,history,history
H8_HenryVIII,history,tragedy
H8_Wolsey,history,tragedy
Ham_Claudius,tragedy,history
Ham_Gravedigger,tragedy,tragedy
Ham_Hamlet,tragedy,history
JC_Antony,tragedy,tragedy
JC_Brutus,tragedy,tragedy
JC_PLEBEIANS,tragedy,tragedy
Jn_KingJohn,history,history
Jn_KingPhilip,history,history
LLL_Costard,comedy,comedy
LLL_King,comedy,tragedy
LLL_Princess,comedy,comedy
Lr_Fool,tragedy,tragedy
Lr_Goneril,tragedy,comedy
Lr_Lear,tragedy,tragedy
MM_Angelo,comedy,comedy
MM_Duke,comedy,comedy
MM_Pompey,comedy,comedy
MND_Bottom,comedy,comedy
MV_LanceletGobbo,comedy,comedy
MV_Portia,comedy,comedy
MV_Shylock,comedy,comedy
Mac_Macbeth,tragedy,tragedy
Mac_Porter,tragedy,comedy
Oth_Clown,tragedy,comedy
Oth_Iago,tragedy,comedy
Oth_Othello,tragedy,tragedy
Per_Antiochus,comedy,history
Per_Pericles,comedy,tragedy
R2_HenryIV,history,history
R2_RichardII,history,history
R3_RichardIII,history,history
Rom_Romeo,tragedy,history
Rom_Tybalt,tragedy,comedy
Shr_Grumio,comedy,comedy
Shr_Petruchio,comedy,comedy
TGV_Lance,comedy,comedy
TGV_Proteus,comedy,comedy
TGV_Speed,comedy,comedy
TGV_Valentine,comedy,comedy
TNK_Theseus,comedy,tragedy
TN_Feste,comedy,comedy
TN_Malvolio,comedy,comedy
TN_Viola,comedy,comedy
Tim_Fool,tragedy,comedy
Tim_Timon,tragedy,tragedy
Tit_Aaron,tragedy,history
Tit_CountryFellow,tragedy,comedy
Tit_Titus,tragedy,tragedy
Tmp_Antonio,comedy,tragedy
Tmp_Prospero,comedy,history
Tro_Thersites,tragedy,history
Tro_Troilus,tragedy,tragedy
WT_Autolycus,comedy,comedy
WT_Leontes,comedy,tragedy
WT_Polixenes,comedy,history
Wiv_Falstaff,comedy,tragedy
Wiv_MistressPage,comedy,tragedy
