character,actual,predicted
1H4_HenryIV,0,1
1H6_Charles,0,6
1H6_HenryVI,0,p
2H4_HenryIV,0,1
2H6_HenryVI,0,1
2H6_QueenMargaret,0,1
3H6_HenryVI,0,1
3H6_QueenMargaret,0,1
AWW_King,0,1
Ado_DonPedro,0,4
Ant_Antony,0,6
Ant_Cleopatra,0,2
Ant_Octavius,0,4
Cym_Cymbeline,0,6
Cym_Queen,0,3
H5_HenryV,0,p
H8_HenryVIII,0,3
H8_Katherine,0,2
Ham_Claudius,0,p
Ham_Gertrude,0,2
JC_Caesar,0,4
Jn_KingJohn,0,1
Jn_KingPhilip,0,1
LLL_King,0,p
LLL_Princess,0,p
Lr_Lear,0,6
MM_Duke,0,4
Mac_LadyMacbeth,0,1
Mac_Macbeth,0,1
Per_Pericles,0,1
Per_Simonides,0,3
R2_RichardII,0,1
R3_QueenElizabeth,0,1
R3_QueenMargaret,0,1
TGV_Duke,0,6
TNK_Theseus,0,4
TN_Orsino,0,1
Tit_Tamora,0,1
Tmp_Prospero,0,1
WT_Hermione,0,2
WT_Leontes,0,5
WT_Polixenes,0,1
1H4_HenryV,1,0
1H4_Hotspur,1,p
1H4_Worcester,1,p
1H6_Gloucester,1,0
1H6_Suffolk,1,0
1H6_York,1,0
2H4_Archbishop,1,0
2H4_ChiefJustice,1,4
2H4_HenryV,1,0
2H6_Gloucester,1,2
2H6_Suffolk,1,2
2H6_Warwick,1,0
2H6_York,1,p
3H6_Clifford,1,6
3H6_EdwardIV,1,0
3H6_RichardIII,1,0
3H6_Warwick,1,0
3H6_York,1,0
AWW_Bertram,1,2
AWW_Countess,1,3
AWW_LORDS.DUMAINE.1,1,4
AWW_Lafew,1,3
AYL_Celia,1,3
AYL_Jaques,1,2
AYL_Rosalind,1,3
Ado_Beatrice,1,4
Ado_Benedick,1,5
Ado_Claudio,1,2
Ado_Leonato,1,2
Ant_Enobarbus,1,4
Cor_Aufidius,1,6
Cor_Cominius,1,4
Cor_Coriolanus,1,2
Cor_Menenius,1,4
Cor_Volumnia,1,5
Cym_Belarius,1,0
Cym_Cloten,1,3
Cym_Guiderius,1,5
Cym_Imogen,1,5
H5_BishopOfCanterbury,1,p
H8_Buckingham,1,p
H8_Chamberlain,1,0
H8_Cranmer,1,p
H8_Norfolk,1,p
H8_Wolsey,1,2
Ham_Hamlet,1,p
Ham_Laertes,1,0
Ham_Ophelia,1,6
Ham_Polonius,1,2
JC_Antony,1,4
JC_Brutus,1,5
JC_Cassius,1,3
Jn_Bastard,1,0
Jn_Constance,1,0
Jn_Dauphin,1,0
Jn_Pandulph,1,0
Jn_Salisbury,1,p
LLL_Boyet,1,p
LLL_Rosaline,1,3
Lr_Albany,1,p
Lr_Edgar,1,5
Lr_Edmund,1,3
Lr_Gloucester,1,p
Lr_Goneril,1,3
Lr_Kent,1,3
Lr_Regan,1,3
MM_Angelo,1,2
MM_Escalus,1,4
MND_Demetrius,1,6
MND_Helena,1,2
MND_Hermia,1,6
MND_Lysander,1,2
MND_Theseus,1,4
MV_Portia,1,4
Mac_Macduff,1,0
Mac_Malcolm,1,p
Oth_Brabantio,1,0
Oth_Desdemona,1,2
Oth_Othello,1,2
Per_Marina,1,5
R2_Gaunt,1,0
R2_HenryIV,1,2
R2_Mowbray,1,2
R2_Northumberland,1,0
R2_York,1,0
R3_Buckingham,1,0
R3_Clarence,1,2
R3_DuchessOfYork,1,6
R3_Hastings,1,6
R3_HenryVII,1,0
R3_LadyAnne,1,6
R3_RichardIII,1,0
Rom_Benvolio,1,2
Rom_Capulet,1,0
Rom_Juliet,1,6
Rom_Mercutio,1,p
Rom_Romeo,1,2
Shr_Lord,1,0
TGV_Sylvia,1,3
TNK_Arcite,1,3
TNK_Emilia,1,p
TNK_Palamon,1,6
TN_Olivia,1,2
Tim_Apemantus,1,6
Tit_Lucius,1,0
Tit_Marcus,1,2
Tit_Saturninus,1,0
Tit_Titus,1,0
Tmp_Miranda,1,6
Tro_Hector,1,0
Tro_Troilus,1,0
WT_Camillo,1,2
WT_Florizell,1,5
WT_Paulina,1,4
1H4_Falstaff,2,5
1H6_Talbot,2,0
2H4_Falstaff,2,p
2H4_Shallow,2,4
AYL_Oliver,2,3
AYL_Orlando,2,5
Cym_Iachimo,2,p
Cym_Pisanio,2,3
Cym_Posthumus,2,3
Err_Adriana,2,0
Err_AntipholusOfEphesus,2,6
Err_AntipholusOfSyracuse,2,6
Err_Egeon,2,1
Ham_Horatio,2,1
Jn_Hubert,2,5
LLL_Armado,2,0
LLL_Berowne,2,1
MM_Isabella,2,p
MM_Lucio,2,4
MV_Antonio,2,1
MV_Bassanio,2,3
MV_Gratiano,2,5
MV_Lorenzo,2,p
Oth_Cassio,2,1
Oth_Emilia,2,6
Oth_Iago,2,3
Rom_FriarLawrence,2,1
Rom_Nurse,2,6
Shr_Baptista,2,1
Shr_Gremio,2,3
Shr_Hortensio,2,3
Shr_Katherine,2,3
Shr_Lucentio,2,6
Shr_Petruchio,2,1
TGV_Julia,2,3
TGV_Proteus,2,3
TGV_Valentine,2,5
TN_AndrewAguecheek,2,6
TN_Malvolio,2,4
TN_Maria,2,3
TN_Sebastian,2,6
TN_TobyBelch,2,0
TN_Viola,2,6
Tim_Alcibiades,2,6
Tit_Aaron,2,1
Tmp_Gonzalo,2,0
Tro_Achilles,2,1
Tro_Aeneas,2,4
Tro_Agamemnon,2,4
Tro_Nestor,2,0
Tro_Pandarus,2,4
Tro_Ulysses,2,p
Wiv_Falstaff,2,6
Wiv_Slender,2,5
LLL_Boy,3,p
LLL_Holofernes,3,p
MV_Shylock,3,2
Shr_Grumio,3,6
Shr_Tranio,3,4
Tim_Flavius,3,4
Tro_Cressida,3,2
Wiv_HughEvans,3,p
Wiv_MasterFord,3,5
Wiv_MasterPage,3,5
Wiv_MistressFord,3,2
Wiv_MistressPage,3,p
2H4_MistressQuickly,4,6
2H6_Cade,4,0
AWW_Diana,4,2
AWW_Parolles,4,p
Ado_Dogberry,4,3
Cor_TRIBUNES.Brutus,4,0
Cor_TRIBUNES.Sicinius,4,p
H5_Fluellen,4,3
JC_Casca,4,2
MM_Provost,4,p
Wiv_MistressQuickly,4,3
MND_Bottom,5,2
MV_LanceletGobbo,5,3
TGV_Lance,5,6
TGV_Speed,5,3
TNK_Daughter,5,2
Tmp_Stephano,5,0
Tro_Thersites,5,0
WT_Shepherd,5,2
Err_DromioOfEphesus,6,3
Err_DromioOfSyracuse,6,3
H5_Pistol,6,1
MM_Pompey,6,3
Tmp_Caliban,6,5
WT_ShepherdsSon,6,0
1H6_Pucelle,p,0
AWW_Fool,p,4
AWW_Helen,p,2
AYL_Touchstone,p,4
H5_Chorus,p,0
LLL_Costard,p,3
Lr_Fool,p,6
Per_Gower,p,0
TN_Feste,p,3
Tim_Timon,p,0
WT_Autolycus,p,3
