character,actual,predicted
1H4_Glendower,0,2
1H4_HenryIV,0,4
1H6_Charles,0,1
1H6_HenryVI,0,2
2H4_HenryIV,0,1
2H6_HenryVI,0,1
2H6_QueenMargaret,0,1
3H6_HenryVI,0,1
3H6_KingLewis,0,p
3H6_QueenMargaret,0,1
AWW_King,0,1
AYL_DukeFrederick,0,p
AYL_DukeSenior,0,4
Ado_DonPedro,0,4
Ant_Antony,0,1
Ant_Cleopatra,0,1
Ant_Lepidus,0,3
Ant_Octavius,0,3
Ant_Pompey,0,3
Cym_Cymbeline,0,p
Cym_Queen,0,p
Err_Duke,0,4
H5_HenryV,0,1
H5_KingOfFrance,0,4
H5_QueenOfFrance,0,2
H8_HenryVIII,0,1
H8_Katherine,0,1
Ham_Claudius,0,4
Ham_Fortinbras,0,1
Ham_Gertrude,0,1
JC_Caesar,0,3
Jn_KingJohn,0,1
Jn_KingPhilip,0,4
Jn_PrinceHenry,0,5
LLL_King,0,1
LLL_Princess,0,5
Lr_Cordelia,0,6
Lr_France,0,2
Lr_Lear,0,1
MM_Duke,0,2
MND_Hippolyta,0,1
MV_Arragon,0,1
MV_Duke,0,1
MV_Morocco,0,2
Mac_Duncan,0,1
Mac_LadyMacbeth,0,1
Mac_Macbeth,0,1
Oth_Duke,0,2
Per_Antiochus,0,p
Per_Cleon,0,5
Per_Dionyza,0,6
Per_Lysimachus,0,4
Per_Pericles,0,1
Per_Simonides,0,p
R2_Queen,0,1
R2_RichardII,0,1
R3_QueenElizabeth,0,1
R3_QueenMargaret,0,1
Rom_PrinceEscalus,0,4
TGV_Duke,0,1
TNK_Hippolyta,0,2
TNK_QUEENS.1,0,p
TNK_QUEENS.2,0,4
TNK_QUEENS.3,0,5
TNK_Theseus,0,2
TN_Orsino,0,1
Tit_Tamora,0,1
Tmp_Alonso,0,1
Tmp_Prospero,0,1
Tro_Menelaus,0,p
Tro_Priam,0,2
WT_Hermione,0,1
WT_Leontes,0,1
WT_Polixenes,0,5
1H4_Archbishop,1,0
1H4_Bedford,1,2
1H4_Douglas,1,0
1H4_HenryV,1,0
1H4_Hotspur,1,0
1H4_LadyPercy,1,0
1H4_Mortimer,1,0
1H4_Northumberland,1,2
1H4_Vernon,1,0
1H4_Westmoreland,1,2
1H4_Worcester,1,0
1H6_Alanson,1,2
1H6_Bastard,1,4
1H6_Bedford,1,p
1H6_Burgundy,1,3
1H6_CardinalBeaufort,1,4
1H6_Countess,1,0
1H6_Exeter,1,4
1H6_Gloucester,1,0
1H6_Mortimer,1,0
1H6_QueenMargaret,1,2
1H6_Reignier,1,0
1H6_Salisbury,1,0
1H6_Somerset,1,0
1H6_Suffolk,1,0
1H6_Warwick,1,0
1H6_York,1,0
2H4_Archbishop,1,0
2H4_Bedford,1,0
2H4_ChiefJustice,1,2
2H4_Clarence,1,3
2H4_Gloucester,1,3
2H4_Hastings,1,0
2H4_HenryV,1,0
2H4_LadyNorthumberland,1,6
2H4_LadyPercy,1,2
2H4_LordBardolph,1,4
2H4_Mowbray,1,0
2H4_Northumberland,1,0
2H4_Warwick,1,4
2H4_Westmoreland,1,2
2H6_Buckingham,1,4
2H6_CardinalBeaufort,1,4
2H6_Clifford,1,0
2H6_DuchessOfGloucester,1,0
2H6_EdwardIV,1,3
2H6_Gloucester,1,0
2H6_RichardIII,1,0
2H6_Salisbury,1,2
2H6_Saye,1,2
2H6_Scales,1,0
2H6_Somerset,1,4
2H6_Suffolk,1,0
2H6_Warwick,1,0
2H6_York,1,2
2H6_YoungClifford,1,0
3H6_ALDERMEN,1,6
3H6_ATTENDANTS.EDWARD.1,1,6
3H6_Clarence,1,p
3H6_Clifford,1,0
3H6_EdwardIV,1,0
3H6_Exeter,1,5
3H6_Hastings,1,5
3H6_LadyBona,1,6
3H6_Montague,1,0
3H6_Norfolk,1,6
3H6_Northumberland,1,p
3H6_Oxford,1,0
3H6_PrinceEdward,1,0
3H6_RichardIII,1,0
3H6_Rivers,1,2
3H6_Rutland,1,5
3H6_Somerset,1,4
3H6_Warwick,1,0
3H6_Westmorland,1,3
3H6_York,1,0
AWW_ATTENDANTS.KING.0.1,1,4
AWW_ATTENDANTS.KING.0.2,1,3
AWW_Bertram,1,6
AWW_Countess,1,2
AWW_Duke,1,0
AWW_LORDS.COURT.1,1,4
AWW_LORDS.COURT.2,1,3
AWW_LORDS.COURT.3,1,4
AWW_LORDS.COURT.4,1,6
AWW_LORDS.DUMAINE.1,1,3
AWW_LORDS.DUMAINE.2,1,4
AWW_Lafew,1,2
AYL_Celia,1,0
AYL_Jaques,1,0
AYL_LORDS.FREDERICK.0.1,1,3
AYL_LORDS.FREDERICK.0.2,1,4
AYL_LORDS.SENIOR,1,4
AYL_LORDS.SENIOR.0.1,1,4
AYL_LORDS.SENIOR.0.2,1,4
AYL_LORDS.SENIOR.Amiens,1,3
AYL_Rosalind,1,0
Ado_ATTENDANTS.0.1,1,6
Ado_Antonio,1,6
Ado_Beatrice,1,2
Ado_Benedick,1,2
Ado_Claudio,1,0
Ado_DonJohn,1,0
Ado_Hero,1,0
Ado_Leonato,1,6
Ado_LeonatosBrother,1,0
Ant_Dolabella,1,3
Ant_Enobarbus,1,3
Ant_Octavia,1,6
Cor_Aufidius,1,0
Cor_Cominius,1,2
Cor_Coriolanus,1,0
Cor_LORDS.VOLSCIAN,1,5
Cor_LORDS.VOLSCIAN.0.1,1,5
Cor_LORDS.VOLSCIAN.0.2,1,5
Cor_LORDS.VOLSCIAN.0.3,1,6
Cor_Menenius,1,2
Cor_NOBLES.0.1,1,p
Cor_Valeria,1,0
Cor_Virgilia,1,6
Cor_Volumnia,1,0
Cor_YoungMartius,1,5
Cym_ATTENDANTS.0.2,1,4
Cym_ATTENDANTS.1,1,0
Cym_ATTENDANTS.3,1,5
Cym_ATTENDANTS.CLOTEN.1,1,6
Cym_ATTENDANTS.CLOTEN.2,1,0
Cym_Arviragus,1,0
Cym_Belarius,1,0
Cym_Cloten,1,0
Cym_Guiderius,1,3
Cym_Imogen,1,0
Cym_LADIES.IMOGEN,1,6
Cym_LADIES.QUEEN,1,4
Cym_LADIES.QUEEN.0.1,1,6
H5_ATTENDANTS.ENGLISH,1,5
H5_Bedford,1,3
H5_BishopOfCanterbury,1,2
H5_Bourbon,1,6
H5_Brittany,1,4
H5_Burgundy,1,0
H5_Cambridge,1,2
H5_Dauphin,1,0
H5_Exeter,1,2
H5_Gloucester,1,5
H5_Grandpre,1,0
H5_Katherine,1,5
H5_Orleans,1,0
H5_Rambures,1,6
H5_Salisbury,1,2
H5_Warwick,1,0
H5_Westmoreland,1,0
H5_York,1,3
H8_Anne,1,3
H8_BishopOfLincoln,1,0
H8_Buckingham,1,2
H8_Campeius,1,4
H8_Chamberlain,1,5
H8_Cranmer,1,2
H8_Cromwell,1,3
H8_Gardiner,1,5
H8_LADIES.KATHERINE.0.1,1,4
H8_Norfolk,1,0
H8_Sands,1,2
H8_Suffolk,1,0
H8_Surrey,1,0
H8_Surveyor,1,0
H8_Wolsey,1,2
Ham_Hamlet,1,0
Ham_Laertes,1,0
Ham_Ophelia,1,6
Ham_Polonius,1,2
JC_Antony,1,3
JC_Brutus,1,0
JC_Calphurnia,1,4
JC_Cassius,1,0
JC_Lepidus,1,0
JC_Octavius,1,0
JC_Portia,1,0
JC_Trebonius,1,0
Jn_Arthur,1,0
Jn_Austria,1,0
Jn_Bastard,1,0
Jn_Bigot,1,4
Jn_Blanche,1,0
Jn_Constance,1,0
Jn_Dauphin,1,0
Jn_Essex,1,3
Jn_Melun,1,4
Jn_Pandulph,1,0
Jn_Pembroke,1,0
Jn_QueenEleanor,1,0
Jn_Salisbury,1,4
LLL_Boyet,1,5
LLL_Katherine,1,2
LLL_LORDS.0,1,4
LLL_Maria,1,6
LLL_Rosaline,1,2
Lr_ATTENDANTS.LEAR.0.3,1,6
Lr_Albany,1,5
Lr_Burgundy,1,6
Lr_Cornwall,1,p
Lr_Edgar,1,0
Lr_Edmund,1,0
Lr_Gloucester,1,0
Lr_Goneril,1,6
Lr_Kent,1,6
Lr_Regan,1,p
MM_Angelo,1,2
MM_Escalus,1,2
MND_Demetrius,1,0
MND_Egeus,1,0
MND_Helena,1,p
MND_Hermia,1,3
