character,actual,predicted
1H4_Falstaff,history,tragedy
1H4_HenryIV,history,history
1H4_HenryV,history,history
1H4_Hotspur,history,history
1H6_Talbot,history,history
2H4_Falstaff,history,comedy
2H6_QueenMargaret,history,history
2H6_York,history,history
3H6_EdwardIV,history,history
3H6_HenryVI,history,history
3H6_RichardIII,history,history
3H6_Warwick,history,history
AWW_Helen,comedy,comedy
AWW_King,comedy,tragedy
AWW_Parolles,comedy,comedy
AYL_Rosalind,comedy,comedy
Ado_Benedick,comedy,comedy
Ado_Leonato,comedy,comedy
Ant_Antony,tragedy,tragedy
Ant_Cleopatra,tragedy,tragedy
Ant_Octavius,tragedy,tragedy
Cor_Coriolanus,tragedy,tragedy
Cor_Menenius,tragedy,comedy
Cym_Belarius,tragedy,tragedy
Cym_Iachimo,tragedy,comedy
Cym_Imogen,tragedy,comedy
Cym_Posthumus,tragedy,tragedy
H5_Fluellen,history,comedy
H5_HenryV,history,history
H8_HenryVIII,history,comedy
H8_Katherine,history,comedy
H8_Wolsey,history,comedy
Ham_Claudius,tragedy,history
Ham_Hamlet,tragedy,tragedy
Ham_Polonius,tragedy,comedy
JC_Antony,tragedy,tragedy
JC_Brutus,tragedy,tragedy
JC_Cassius,tragedy,tragedy
Jn_Bastard,history,history
Jn_KingJohn,history,history
LLL_Berowne,comedy,tragedy
Lr_Edgar,tragedy,tragedy
Lr_Gloucester,tragedy,tragedy
Lr_Kent,tragedy,tragedy
Lr_Lear,tragedy,tragedy
MM_Duke,comedy,comedy
MM_Isabella,comedy,tragedy
MV_Bassanio,comedy,comedy
MV_Portia,comedy,comedy
MV_Shylock,comedy,comedy
Mac_Macbeth,tragedy,history
Oth_Desdemona,tragedy,comedy
Oth_Iago,tragedy,comedy
Oth_Othello,tragedy,tragedy
Per_Pericles,comedy,tragedy
R2_HenryIV,history,history
R2_RichardII,history,history
R3_Buckingham,history,history
R3_RichardIII,history,history
Rom_FriarLawrence,tragedy,tragedy
Rom_Juliet,tragedy,tragedy
Rom_Romeo,tragedy,tragedy
Shr_Petruchio,comedy,comedy
TGV_Proteus,comedy,comedy
TGV_Valentine,comedy,comedy
TN_TobyBelch,comedy,tragedy
TN_Viola,comedy,comedy
TNK_Arcite,comedy,comedy
TNK_Daughter,comedy,tragedy
TNK_Emilia,comedy,tragedy
TNK_Palamon,comedy,tragedy
Tim_Timon,tragedy,tragedy
Tit_Aaron,tragedy,history
Tit_Titus,tragedy,tragedy
Tmp_Prospero,comedy,tragedy
Tro_Pandarus,tragedy,comedy
Tro_Troilus,tragedy,tragedy
Tro_Ulysses,tragedy,history
WT_Leontes,comedy,tragedy
Wiv_Falstaff,comedy,comedy
Wiv_MasterFord,comedy,comedy
Wiv_MistressPage,comedy,comedy
